Country,country,
Afghanistan,Afghanistan,TRUE
Albania,Albania,TRUE
Algeria,Algeria,TRUE
AmericanSamoa,,FALSE
Andorra,,FALSE
Angola,Angola,TRUE
Anguilla,,FALSE
Antarctica,,FALSE
Antigua,Antigua and Barbuda,FALSE
Argentina,Argentina,TRUE
Armenia,Armenia,TRUE
Aruba,Australia,FALSE
AscensionIsland,,FALSE
Australia,,FALSE
Austria,Austria,TRUE
Azerbaijan,Azerbaijan,TRUE
Azores,,FALSE
Bahamas,Bahamas,TRUE
Bahrain,Bahrain,TRUE
Bangladesh,Bangladesh,TRUE
Barbados,Barbados,TRUE
Barbuda,,FALSE
Belarus,Belarus,TRUE
Belgium,Belgium,TRUE
Belize,Belize,TRUE
Benin,Benin,TRUE
Bermuda,,FALSE
Bhutan,Bhutan,TRUE
Bolivia,Bolivia,TRUE
Bonaire,,FALSE
Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE
Botswana,Botswana,TRUE
Brazil,Brazil,TRUE
Brunei,Brunei,TRUE
Bulgaria,Bulgaria,TRUE
Burkina Faso,Burkina Faso,TRUE
Burundi,Burundi,TRUE
Cambodia,Cambodia,TRUE
Cameroon,Cameroon,TRUE
Canada,Canada,TRUE
CanaryIslands,,FALSE
Cape Verde,Cape Verde,TRUE
CaymanIslands,,FALSE
Central African Republic,Central African Republic,TRUE
Chad,Chad,TRUE
ChagosArchipelago,,FALSE
Chile,Chile,TRUE
China,China,TRUE
ChristmasIsland,,FALSE
CocosIslands,,FALSE
Colombia,Colombia,TRUE
Comoros,Comoros,TRUE
CookIslands,"Congo, Dem. Rep.",FALSE
NA,"Congo, Rep.",FALSE
Costa Rica,Costa Rica,TRUE
NA,Cote d'Ivoire,FALSE
Croatia,Croatia,TRUE
Cuba,,FALSE
Curacao,,FALSE
Cyprus,Cyprus,TRUE
Czech Republic,Czech Republic,TRUE
Democratic Republic of the Congo,,FALSE
Denmark,Denmark,TRUE
Djibouti,,FALSE
Dominica,,FALSE
Dominican Republic,Dominican Republic,TRUE
Ecuador,Ecuador,TRUE
Egypt,Egypt,TRUE
El Salvador,El Salvador,TRUE
Equatorial Guinea,Equatorial Guinea,TRUE
Eritrea,Eritrea,TRUE
Estonia,Estonia,TRUE
Ethiopia,,FALSE
FalklandIslands,,FALSE
FaroeIslands,,FALSE
Fiji,Fiji,TRUE
Finland,Finland,TRUE
France,France,TRUE
FrenchGuiana,,FALSE
FrenchPolynesia,,FALSE
FrenchSouthernandAntarcticLands,,FALSE
Gabon,Gabon,TRUE
Gambia,Gambia,TRUE
Georgia,Georgia,TRUE
Germany,Germany,TRUE
Ghana,Ghana,TRUE
Greece,Greece,TRUE
Greenland,,FALSE
Grenada,Grenada,TRUE
Grenadines,,FALSE
Guadeloupe,,FALSE
Guam,,FALSE
Guatemala,Guatemala,TRUE
Guernsey,,FALSE
Guinea,Guinea,TRUE
Guinea-Bissau,Guinea-Bissau,TRUE
Guyana,Guyana,TRUE
Haiti,Haiti,TRUE
HeardIsland,,FALSE
Honduras,,FALSE
Hungary,Hungary,TRUE
Iceland,Iceland,TRUE
India,India,TRUE
Indonesia,Indonesia,TRUE
Iran,Iran,TRUE
Iraq,Iraq,TRUE
Ireland,Ireland,TRUE
IsleofMan,,FALSE
Israel,Israel,TRUE
Italy,Italy,TRUE
IvoryCoast,,FALSE
Jamaica,Jamaica,TRUE
Japan,Japan,TRUE
Jersey,,FALSE
Jordan,Jordan,TRUE
